county,sub county,total,farming,crop production,livestock production,aquaculture,fishing,irrigation,maize,sorghum,rice,potatoes,beans,cassava,sweet potatoes,wheat,green grams,bananas,cabbages,tomatoes,onions,ground nuts,millet,watermelons,kales,sugarcane,cotton,exotic cattle 0dairy,exotic cattle 0beef,indigenous cattle,sheep,goats,camels,donkeys,pigs,indigenous chicken,exotic chicken layers,exotic chicken broilers,beehives,rabbits,fish ponds,fish cages
KENYA,0.0,12143913,6354211,5555974,4729288,29325,109640,369679,5104967,904945.0,50484.0,1170170.0,3600840.0,1050352.0,1134102.0,67720.0,571426.0,2139421.0,490588.0,410224.0,707182.0,480812.0,540353.0,84077.0,1916898.0,654468.0,22920.0,939916,167625,2260439,1299893,1898887,167666.0,500682,110383.0,3337700,194517,79461,201406,124122,22019.0,3361.0
MOMBASA,0.0,378422,12497,7218,8749,128,1409,958,5681,0.0,0.0,0.0,0.0,2849.0,0.0,0.0,0.0,2232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412,191,1024,313,3029,6.0,36,134.0,6142,743,998,68,186,83.0,24.0
KWALE,0.0,173176,108074,100020,72666,220,4452,2438,93143,2784.0,8585.0,1038.0,8619.0,46004.0,10388.0,0.0,20536.0,28831.0,0.0,10008.0,1124.0,5636.0,1290.0,3794.0,10775.0,5089.0,0.0,1453,804,33888,10587,45129,62.0,507,48.0,56196,962,836,573,179,201.0,57.0
KILIFI,0.0,298472,161188,149334,101983,366,6393,5643,143913,2911.0,2847.0,0.0,10319.0,58225.0,9899.0,0.0,30359.0,26712.0,0.0,8854.0,0.0,2570.0,1522.0,4649.0,6982.0,6383.0,0.0,4905,1480,33420,6746,67419,81.0,1234,366.0,72134,1484,1807,611,524,333.0,50.0
TANA RIVER,0.0,68242,35094,16723,27046,212,2136,4528,13141,472.0,1255.0,0.0,2373.0,1989.0,991.0,0.0,5627.0,4647.0,0.0,2521.0,723.0,585.0,0.0,2406.0,1815.0,1690.0,384.0,1302,283,12012,16725,21545,3333.0,5329,2.0,10187,1019,616,1066,38,176.0,48.0
LAMU,0.0,37963,18678,15196,13448,65,3162,1083,13698,818.0,0.0,0.0,546.0,4611.0,996.0,0.0,5854.0,4479.0,0.0,1497.0,176.0,2651.0,585.0,1637.0,1184.0,2201.0,1574.0,508,159,3838,1932,8343,17.0,795,33.0,10362,385,253,302,62,54.0,15.0
TAITA/TAVETA,0.0,96429,56920,48382,43462,275,670,10225,44378,3651.0,488.0,4906.0,31229.0,17159.0,9080.0,0.0,14573.0,17629.0,2838.0,6428.0,2340.0,2033.0,1935.0,2155.0,11557.0,7687.0,0.0,7893,1088,16591,7190,24512,63.0,1528,148.0,34560,895,641,1857,1555,262.0,27.0
GARISSA,0.0,141394,47645,4406,46154,1981,1411,1817,2590,748.0,0.0,696.0,1326.0,0.0,0.0,0.0,0.0,1902.0,0.0,1808.0,1132.0,0.0,0.0,1727.0,804.0,0.0,0.0,1376,608,23444,37684,41468,17624.0,20630,0.0,5852,1307,832,833,285,0.0,0.0
WAJIR,0.0,127932,63433,2484,62695,1272,912,638,1663,660.0,0.0,0.0,799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,0.0,0.0,0.0,1633,518,28872,53245,57038,39237.0,39275,0.0,5712,891,447,174,69,0.0,0.0
MANDERA,0.0,125763,62639,15310,60556,1646,1083,5428,13594,5735.0,1129.0,7331.0,0.0,0.0,0.0,0.0,2250.0,1257.0,3566.0,2312.0,0.0,1804.0,3601.0,1484.0,753.0,0.0,0.0,1203,427,28596,50451,56390,43691.0,40877,0.0,13003,2155,1010,6008,173,0.0,0.0
MARSABIT,0.0,77495,39167,2655,38342,163,1295,160,1933,0.0,0.0,1619.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,0.0,0.0,0.0,1367,768,17793,30124,33757,22092.0,21474,19.0,3340,291,165,337,16,131.0,37.0
ISIOLO,0.0,58072,24271,2780,23348,80,209,1322,1983,0.0,0.0,1297.0,0.0,351.0,0.0,290.0,307.0,0.0,1111.0,1019.0,0.0,0.0,364.0,1086.0,0.0,0.0,0.0,596,406,11953,19424,20562,6771.0,11509,11.0,6041,319,225,407,54,66.0,13.0
MERU,0.0,426360,274865,250493,201036,1089,1666,51587,217403,34277.0,68292.0,181410.0,40774.0,34320.0,6290.0,23981.0,118020.0,22818.0,13710.0,19650.0,6202.0,15218.0,2499.0,53941.0,27532.0,2428.0,0.0,63202,12794,69431,34791,94528,273.0,3788,11730.0,132552,11192,6091,12278,12517,1011.0,112.0
THARAKA NITHI,0.0,109860,85767,79228,67964,304,786,7766,53730,31848.0,6312.0,41827.0,18303.0,10425.0,0.0,29144.0,31892.0,2102.0,3745.0,5674.0,1012.0,27262.0,1158.0,13507.0,10232.0,616.0,0.0,18185,3635,22274,13039,44784,33.0,3849,3566.0,54256,2623,1041,9054,4004,284.0,29.0
EMBU,0.0,182743,130990,123265,98446,579,1633,11873,109171,22883.0,31032.0,89278.0,27641.0,20905.0,0.0,30437.0,55970.0,8247.0,8734.0,8517.0,1215.0,12819.0,1884.0,27825.0,17631.0,0.0,0.0,23852,5700,32172,12781,56864,56.0,8069,2404.0,80171,4250,1525,11926,7297,549.0,57.0
KITUI,0.0,262942,215322,199459,177701,570,863,6716,178635,98030.0,0.0,105815.0,35623.0,15210.0,0.0,133390.0,16923.0,1330.0,8600.0,5648.0,0.0,60988.0,17724.0,19725.0,3959.0,2711.0,0.0,3865,3016,88486,20920,149306,433.0,103497,175.0,147023,3016,1968,30134,710,461.0,82.0
MACHAKOS,0.0,402466,231341,217073,176746,564,1834,16642,211089,22077.0,12704.0,194467.0,60602.0,37625.0,0.0,55800.0,60821.0,5394.0,16758.0,9110.0,0.0,4514.0,4679.0,40521.0,9053.0,0.0,0.0,12759,4057,103561,34152,113642,96.0,19679,427.0,143193,5072,2606,6284,7966,500.0,68.0
MAKUENI,0.0,244669,193531,180639,157946,394,908,15313,176503,34867.0,12328.0,137972.0,45628.0,29899.0,0.0,69800.0,49487.0,6382.0,12906.0,6773.0,0.0,6607.0,5887.0,33585.0,12286.0,1564.0,0.0,9659,3192,96923,27988,118982,73.0,30697,129.0,133836,4986,2755,12302,3675,324.0,66.0
NYANDARUA,0.0,179686,140854,135148,110337,250,603,4218,114595,1793.0,119679.0,59481.0,1038.0,3788.0,2719.0,4241.0,3956.0,64651.0,3099.0,43964.0,0.0,0.0,0.0,74358.0,3636.0,0.0,0.0,62978,9637,23151,53860,12196,0.0,6668,512.0,80850,7065,1996,2442,9263,233.0,16.0
NYERI,0.0,248050,164229,154421,122979,760,1264,23545,138426,3354.0,0.0,108919.0,125889.0,13597.0,34618.0,2536.0,2311.0,81891.0,45430.0,12864.0,27917.0,0.0,0.0,71714.0,23622.0,0.0,0.0,51342,7267,28563,33893,41183,0.0,439,2305.0,84273,8973,2370,3514,9302,718.0,58.0
KIRINYAGA,0.0,204188,139866,130577,97394,702,1796,42309,100197,8880.0,21557.0,22133.0,83440.0,20215.0,25556.0,0.0,4285.0,73990.0,18370.0,15866.0,10460.0,2643.0,2049.0,40338.0,19104.0,0.0,0.0,29013,8588,25622,9616,42477,0.0,564,2410.0,74137,4680,2007,2844,8727,606.0,54.0
MURANG'A,0.0,318105,231400,219973,175123,450,1345,11205,202745,6021.0,0.0,91878.0,177211.0,49778.0,60504.0,0.0,3208.0,144925.0,35857.0,13611.0,26806.0,0.0,0.0,86317.0,21753.0,0.0,0.0,82912,17983,30738,22478,66761,0.0,621,11053.0,117623,10341,3161,3488,14565,428.0,36.0
KIAMBU,0.0,795241,214052,177419,147137,417,1317,14835,144125,0.0,0.0,108457.0,120887.0,9816.0,18416.0,0.0,0.0,74810.0,41121.0,17996.0,28684.0,0.0,0.0,103524.0,19981.0,0.0,0.0,67014,9559,10511,30251,21854,0.0,3891,9731.0,92248,14138,4156,1535,7577,379.0,52.0
